venueId,latitude,longitude
l1208,40.71981038,-74.00258103
l68,40.60679958,-74.04416981
l130,40.71616168,-73.88307006
l4742,40.74010383,-73.98965836
l7838,40.69042712,-73.95468678
l3262,40.75159143,-73.9741214
l7025,40.77942173,-73.95534113
l1580,40.61915107,-74.0358876
l5249,40.74348254,-73.99400899999998
l2703,40.74260751,-73.99270535
l303,40.74119055,-73.98966309999999
l3953,40.7045885,-74.00963933
l497,40.8619815,-74.04790454
l1402,40.82678954,-73.94950924
l1058,40.75527488,-73.97880614
l5546,40.73067679,-74.0656718
l260,40.88302033,-74.07587528
l6713,40.74281621,-74.00040611
l2170,40.76067265,-74.00367709
l265,40.736676,-73.98891
l1831,40.79059947,-73.98023378
l580,40.75230661,-73.97185432
l1001,40.65553514,-74.00862938
l37,40.74186151,-73.98943363
l1194,40.75094552,-74.00563392
l17,40.731698,-73.98922694
l117,40.82650767,-73.95039082
l1282,40.86283582,-74.19723988
l8,40.74218831,-73.98792419
l1076,40.90105787,-74.15076256
l167,40.96324076,-74.0946311
l243,40.7414075,-73.98843795
l4425,40.77807781,-73.95449162
l9023,40.77901409,-73.95403862
l9756,40.77615805,-73.82361593
l8510,40.68892999,-73.9956665
l2006,40.727612,-74.007306
l3408,40.77843897,-73.95451458
l610,40.92431191,-73.9968883
l19,40.76391921,-73.97313996
l3338,40.80396498,-74.00513467
l6475,40.785679,-73.97283399999998
l280,40.80204208,-74.00063278
l5036,40.73971083,-73.98251798
l1153,40.7509958,-73.99068832
l22,40.75061379,-73.98856401
l379,40.7471092,-74.15280867
l147,40.73405558,-73.87084723
l4217,40.75110146,-73.98130059
l5508,40.76260087,-73.9660057
l1883,40.69541297,-73.98732159
l7384,40.67919000000001,-73.995548
l3419,40.80463955,-73.93786213
l6375,40.74790921,-73.98380928
l1456,40.71589126,-74.03416157
l1676,40.745245,-73.982692
l967,40.70473328,-73.98773789
l1259,40.91220464,-74.01238511
l2180,40.74697652,-73.98325259
l263,40.91192343,-73.78237724
l216,40.75951305,-73.83147240000002
l2281,40.77104600000001,-74.065758
l864,40.72703111,-74.03484821
l885,40.7514116,-73.97994108
l4397,40.75539132,-73.97425915
l2874,40.725891,-73.79143081
l1131,40.83162209,-74.13679361
l8268,40.726045,-73.79091154
l2234,40.71528089,-74.03639537
l872,40.75821277,-73.98682594
l8263,40.82860220000001,-73.87925863
l3066,40.74546291,-73.99098305
l255,40.87063009,-74.09792627
l1564,40.74404465,-73.98373696
l2132,40.67755881,-73.74452480000002
l6266,40.67912093,-73.74992033
l3,40.64508936,-73.78452301
l2123,40.7228417,-73.99411647
l1850,40.68006413,-73.76161876
